Stanum,Lat,Lon,Rain,Mean,Var
54266,4232,12538,-0.18,3.51,124.0
54273,4259,12645,-1.02,4.73,199.76
54276,4224,12648,0.67,3.04,67.0
54284,4209,12730,1.0,2.41,32.79
54285,4224,12807,0.59,2.54,20.66
54286,4232,12900,-0.51,3.17,46.42
54292,4252,12930,0.18,2.06,21.42
54308,4112,11638,-0.07,2.05,21.06
54311,4158,11746,-0.6,2.35,24.83
54324,4133,12026,0.24,1.53,27.29
54326,4125,11937,-0.0,1.7,23.64
54333,4158,12251,0.51,0.76,6.14
54339,4105,12260,1.41,0.75,5.56
54342,4144,12331,1.27,0.5,3.3
54346,4118,12347,1.34,1.29,12.09
54351,4155,12404,1.53,1.12,15.58
54353,4143,12502,0.39,2.96,58.95
54363,4141,12554,0.45,3.42,62.94
54374,4148,12653,0.43,3.07,53.49
54377,4109,12613,0.51,3.19,37.35
54386,4125,12811,0.67,2.16,25.98
54401,4046,11455,-0.09,1.98,36.73
54405,4025,11530,-1.06,2.65,67.61
54406,4027,11558,0.27,1.58,13.86
54416,4023,11652,0.1,3.08,94.16
54423,4058,11755,0.43,1.83,23.11
54429,4012,11757,-0.06,3.37,75.17
54436,4025,11857,0.87,1.12,6.4
54449,3951,11931,0.28,1.96,55.07
54452,4048,11948,0.76,1.17,17.92
54454,4020,12018,0.83,0.61,8.34
54455,4037,12039,0.95,0.27,1.0
54470,4101,12203,1.38,0.38,2.65
54471,4040,12210,1.2,0.58,3.7
54476,4011,12209,0.54,2.2,36.81
54486,4020,12317,0.6,2.41,34.67
54493,4043,12447,0.76,2.84,41.19
54497,4002,12420,0.61,3.12,66.84
54511,3948,11628,-0.44,3.36,86.55
54518,3910,11624,0.95,0.62,2.9
54525,3944,11717,0.36,1.77,22.55
54527,3905,11703,1.37,0.55,2.71
54534,3939,11806,1.06,1.72,26.98
54539,3926,11853,0.27,2.53,46.31
54563,3938,12201,1.26,0.76,5.51
54579,3916,12235,0.63,1.29,12.01
54584,3943,12257,-0.41,4.17,329.51
54602,3844,11529,0.58,0.91,5.79
54606,3813,11545,0.03,1.91,34.06
54618,3805,11633,1.04,0.55,3.78
54623,3903,11743,0.93,1.25,9.36
54624,3824,11719,1.48,0.39,0.95
54662,3854,12138,0.6,1.38,11.8
54705,3722,11523,-0.23,2.25,39.3
54715,3719,11631,1.1,0.39,1.86
54725,3730,11732,1.16,0.37,1.46
54727,3639,11731,0.68,1.46,17.65
54744,3735,11833,-1.13,3.63,188.0
54751,3756,12044,0.43,1.97,49.38
54753,3738,12020,0.29,2.2,32.71
54764,3729,12114,-0.5,1.27,19.51
54776,3724,12242,-0.87,5.69,229.25
54808,3613,11538,-0.18,2.39,60.1
54823,3636,11700,1.45,0.32,0.53
54826,3615,11706,0.48,3.0,38.03
54836,3611,11810,-0.22,3.3,129.36
54842,3647,12000,-1.44,5.33,278.23
54843,3645,11912,-0.75,5.76,393.91
54857,3604,12020,-0.07,2.56,52.76
54863,3647,12111,-0.87,5.41,304.82
54909,3505,11531,-0.66,2.58,131.56
54916,3534,11651,0.61,1.34,18.68
54929,3516,11758,0.72,1.8,27.81
54936,3534,11850,-0.05,3.01,47.66
54945,3528,11933,-0.06,2.93,87.3
55228,3230,8005,0.47,0.19,0.53
55248,3209,8425,-1.0,1.97,10.57
55299,3129,9204,-1.27,3.32,23.11
55437,3017,8115,-0.0,0.17,0.34
55493,3029,9106,-0.3,4.54,34.63
55569,2905,8736,0.27,4.91,42.08
55598,2916,9146,-1.07,3.33,23.72
55655,2811,8558,-1.04,2.27,12.49
55664,2838,8705,0.15,4.83,68.89
55680,2855,8936,-0.01,3.72,55.18
56004,3413,9226,-0.35,1.5,5.23
56018,3253,9517,-1.03,3.35,18.57
56021,3408,9549,0.35,3.31,22.0
56029,3300,9658,0.04,3.78,30.83
56033,3455,9813,1.71,3.79,31.56
56034,3348,9708,0.83,4.05,36.26
56038,3259,9806,-0.41,3.83,23.32
56043,3429,10014,-0.3,4.07,29.69
56046,3345,9939,0.54,4.26,31.42
56065,3444,10136,0.4,1.97,11.68
56067,3326,10129,-0.27,4.89,42.93
56074,3400,10205,-1.3,3.15,27.09
56079,3335,10258,-0.65,2.99,23.64
56080,3459,10254,0.0,2.14,13.42
56093,3426,10401,-0.67,3.73,37.31
56096,3324,10455,-0.74,2.85,34.17
56116,3125,9536,-1.33,3.93,18.17
56125,3212,9628,-0.5,4.15,26.31
56137,3109,9710,-1.13,3.33,39.58
56144,3148,9835,-0.52,4.47,41.16
56146,3137,10000,-0.49,2.43,22.05
56151,3256,10045,-0.64,3.59,14.6
56152,3217,10020,-1.24,3.5,16.09
56167,3058,10107,-1.24,3.45,32.36
56172,3154,10214,-0.01,4.41,48.79
56173,3248,10233,0.16,4.64,59.22
56178,3060,10221,-1.17,2.56,26.96
56182,3240,10336,-1.06,2.59,25.03
56187,3045,10352,-0.71,7.93,217.78
56188,3060,10340,-0.71,7.84,224.67
56223,3046,9548,-0.59,0.88,7.25
56227,2952,9546,0.41,1.08,3.3
56247,3000,9906,-0.92,2.99,27.99
