Stanum,Lat,Lon,Rain,Mean,Var
54326,4125,11937,11.98,4.92,77.58
54333,4158,12251,110.7,10.9,1100.48
54339,4105,12260,87.12,10.05,501.7
54342,4144,12331,77.12,9.63,336.59
54346,4118,12347,36.27,8.6,264.67
54351,4155,12404,95.1,12.81,631.99
54353,4143,12502,19.38,7.14,158.1
54363,4141,12554,55.7,10.55,312.96
54374,4148,12653,73.15,11.0,216.41
54377,4109,12613,27.91,9.76,485.46
54386,4125,12811,50.78,7.45,126.14
54401,4046,11455,-12.64,2.91,23.23
54405,4025,11530,-30.24,2.38,24.72
54406,4027,11558,-35.78,2.76,52.98
54416,4023,11652,-2.28,6.61,112.11
54423,4058,11755,24.58,5.85,58.87
54429,4012,11757,40.48,10.73,360.77
54436,4025,11857,17.8,8.77,288.17
54449,3951,11931,38.27,8.77,497.75
54452,4048,11948,40.47,7.68,229.8
54454,4020,12018,43.22,7.98,492.5
54455,4037,12039,121.45,12.06,827.97
54470,4101,12203,252.69,18.61,1684.87
54471,4040,12210,85.37,9.93,573.86
54476,4011,12209,55.07,7.51,415.95
54486,4020,12317,51.57,10.91,299.68
54493,4043,12447,23.43,11.69,494.86
54497,4002,12420,-21.19,6.94,184.2
54511,3948,11628,12.63,6.39,240.33
54518,3910,11624,114.98,11.31,576.47
54525,3944,11717,10.6,6.96,306.58
54527,3905,11703,5.2,5.91,237.88
54534,3939,11806,65.46,10.05,373.91
54539,3926,11853,17.99,7.15,158.53
54563,3938,12201,-0.8,5.04,101.04
54579,3916,12235,-10.72,4.4,116.59
54584,3943,12257,17.41,7.49,305.21
54602,3844,11529,63.15,8.83,518.06
54606,3813,11545,29.06,6.77,227.32
54618,3805,11633,15.11,6.87,239.64
54623,3903,11743,-1.35,5.76,132.03
54624,3824,11719,74.4,11.02,851.88
54662,3854,12138,-15.2,3.98,83.23
54705,3722,11523,-39.02,2.75,46.52
54715,3719,11631,35.6,7.86,381.05
54725,3730,11732,55.0,9.35,299.89
54727,3639,11731,14.7,7.03,258.68
54744,3735,11833,32.58,6.96,292.68
54751,3756,12044,-14.73,3.79,125.58
54753,3738,12020,-40.31,3.11,57.9
54764,3729,12114,-100.0,0.0,0.0
54776,3724,12242,49.7,8.69,719.55
54808,3613,11538,66.45,8.22,421.11
54823,3636,11700,58.89,10.61,530.62
54826,3615,11706,8.67,10.82,644.33
54836,3611,11810,-5.43,6.44,203.4
54842,3647,12000,-11.19,4.85,142.33
54843,3645,11912,-5.66,4.91,194.33
54857,3604,12020,-33.67,3.66,136.75
54863,3647,12111,-43.43,3.24,108.93
54909,3505,11531,-100.0,0.0,0.0
54916,3534,11651,59.83,10.44,651.7
54929,3516,11758,24.64,9.79,509.1
54936,3534,11850,-10.42,6.6,217.3
54945,3528,11933,-48.91,3.54,74.18
55228,3230,8005,-99.58,0.0,0.0
55248,3209,8425,22.95,1.79,10.92
55299,3129,9204,-11.03,3.1,27.24
55437,3017,8115,-62.68,0.21,1.05
55493,3029,9106,-53.1,1.81,7.39
55569,2905,8736,-0.76,2.71,13.41
55598,2916,9146,-4.22,3.53,16.96
55655,2811,8558,-62.46,0.91,1.21
55664,2838,8705,-31.67,2.13,19.9
55680,2855,8936,-58.38,1.19,3.54
56004,3413,9226,9.31,2.8,14.74
56018,3253,9517,4.17,3.75,22.59
56021,3408,9549,10.99,3.35,24.56
56029,3300,9658,33.03,4.24,21.1
56033,3455,9813,32.28,3.0,21.44
56034,3348,9708,53.33,5.04,40.1
56038,3259,9806,10.8,4.26,26.73
56043,3429,10014,26.15,4.52,22.52
56046,3345,9939,-3.18,3.42,14.7
56065,3444,10136,22.29,4.55,31.6
56067,3326,10129,-6.08,4.21,30.22
56074,3400,10205,1.18,3.59,16.99
56079,3335,10258,-50.88,1.95,16.17
56080,3459,10254,-16.37,3.0,28.27
56093,3426,10401,-59.72,1.4,16.01
56096,3324,10455,-75.42,0.73,3.6
56116,3125,9536,11.85,4.77,45.99
56125,3212,9628,18.44,4.46,16.76
56137,3109,9710,87.43,6.35,54.19
56144,3148,9835,10.75,4.88,39.19
56146,3137,10000,-22.67,2.95,16.95
56151,3256,10045,-11.61,3.25,21.47
56152,3217,10020,-8.29,4.12,38.07
56167,3058,10107,-31.72,2.65,12.16
56172,3154,10214,-37.24,2.64,17.09
56173,3248,10233,-17.23,3.32,25.11
56178,3060,10221,-43.68,1.74,10.38
56182,3240,10336,-44.5,1.82,8.56
56187,3045,10352,-67.52,2.44,30.85
56188,3060,10340,-31.15,5.85,266.21
56223,3046,9548,169.36,4.75,27.76
56227,2952,9546,89.09,6.05,70.32
56247,3000,9906,20.27,4.77,23.53
56251,3056,10019,6.58,4.62,31.49
56257,3000,10016,21.12,6.94,56.19
56312,2940,9420,76.76,7.56,79.91
56331,2940,9750,2.29,3.18,21.72
56357,2903,10018,14.91,6.96,53.56
56374,3003,10158,19.98,4.75,25.31
56385,2931,10320,-35.57,7.5,335.59
56386,2934,10345,-73.65,2.36,80.66
56434,2840,9728,-9.63,2.8,17.38
56444,2829,9854,-20.43,3.36,47.29
56459,2756,10117,14.35,7.69,63.62
56462,2900,10130,31.32,7.87,78.59
56475,2839,10231,-8.95,5.97,68.49
56479,2800,10251,0.06,6.4,72.9
56485,2816,10335,-43.79,2.95,28.11
56492,2846,10436,-0.55,7.02,242.88
56533,2745,9840,-21.92,5.06,23.88
56543,2751,9945,-42.67,2.9,28.33
56548,2711,9917,-18.64,4.39,65.23
56565,2726,10129,30.01,8.62,105.91
56571,2754,10216,140.27,17.11,635.61
56586,2721,10343,12.5,5.48,68.92
56643,2552,9851,-47.68,2.16,5.4
56651,2651,10013,21.52,9.46,226.91
56664,2638,10116,1.62,8.58,172.84
56666,2635,10143,97.53,7.45,230.27
56671,2639,10215,39.67,12.2,437.82
56684,2624,10315,44.87,7.75,170.73
56691,2652,10417,1.52,5.57,72.88
56739,2459,9830,-0.56,9.18,91.35
56748,2507,9911,-67.61,1.77,8.33
56751,2542,10011,-8.91,5.52,123.22
56778,2500,10239,-32.53,4.52,100.6
56792,2547,10458,80.04,14.75,307.23
56793,2545,10432,110.12,16.59,664.36
56856,2426,10052,16.56,7.64,183.2
56875,2420,10233,-3.44,5.46,65.62
56886,2432,10346,-6.69,5.35,66.41
56946,2332,9923,-12.59,7.39,119.55
56951,2353,10007,4.29,8.29,69.92
56954,2234,9956,-0.71,10.79,150.43
56964,2247,10058,-21.66,8.03,94.37
56966,2338,10158,84.21,7.51,280.53
56969,2128,10135,4.02,10.3,205.07
56977,2236,10151,-2.8,14.97,300.22
56991,2336,10420,12.27,6.97,189.32
57003,3454,10650,-83.57,0.59,2.49
57014,3434,10552,-59.09,1.23,37.51
57025,3431,10723,-40.24,2.07,37.67
57028,3404,10719,-51.79,2.17,38.44
57030,3442,10809,-77.82,0.72,10.5
57034,3419,10814,-16.37,2.46,66.1
57037,3456,10858,-73.59,0.88,9.07
57046,3429,11005,-50.64,2.45,47.36
57048,3424,10843,-32.01,1.86,83.15
57051,3443,11115,35.65,4.75,238.94
57052,3453,11027,-43.81,1.37,18.1
57071,3448,11228,-64.82,1.65,13.02
57083,3442,11340,-57.27,2.16,38.96
57089,3404,11356,-73.81,1.44,23.8
57091,3448,11418,1.28,5.29,245.83
57106,3319,10609,-40.61,3.47,44.94
57124,3337,10655,-44.58,2.99,48.52
57127,3304,10702,-35.54,3.38,79.05
57131,3426,10858,-100.0,0.0,0.0
57134,3331,10759,-38.89,3.93,65.3
57143,3351,10958,33.87,5.6,224.67
57144,3326,10909,-45.38,2.55,33.74
