Stanum,Lat,Lon,Rain,Mean,Var
56080,3459,10254,16.68,2.28,16.21
56093,3426,10401,16.75,2.27,13.07
56096,3324,10455,13.72,3.59,31.64
56116,3125,9536,14.83,2.74,11.45
56125,3212,9628,16.03,2.7,16.4
56137,3109,9710,12.37,3.59,29.61
56144,3148,9835,7.76,5.38,56.89
56146,3137,10000,12.24,3.64,32.74
56151,3256,10045,16.5,2.53,26.52
56152,3217,10020,13.35,3.08,26.85
56167,3058,10107,16.35,2.61,19.39
56172,3154,10214,13.69,2.97,49.45
56173,3248,10233,15.27,2.63,17.58
56178,3060,10221,21.95,1.94,11.67
56182,3240,10336,17.5,2.62,37.49
56187,3045,10352,3.68,9.82,352.6
56188,3060,10340,3.03,10.85,402.41
56223,3046,9548,27.07,2.01,11.93
56227,2952,9546,7.83,4.07,36.19
56247,3000,9906,14.1,2.92,24.13
56251,3056,10019,11.13,3.77,29.04
56257,3000,10016,10.63,3.59,25.14
56312,2940,9420,6.69,5.21,52.51
56331,2940,9750,8.6,5.03,52.85
56357,2903,10018,8.17,4.64,26.46
56374,3003,10158,9.27,4.33,78.45
56385,2931,10320,1.99,15.12,658.35
56386,2934,10345,3.44,10.58,400.32
56434,2840,9728,6.63,5.14,47.39
56444,2829,9854,7.87,4.67,46.81
56459,2756,10117,3.92,8.84,121.76
56462,2900,10130,7.22,5.16,53.77
56475,2839,10231,2.83,11.44,301.08
56479,2800,10251,4.4,7.87,79.61
56485,2816,10335,7.69,4.91,47.54
56492,2846,10436,3.95,10.02,513.58
56533,2745,9840,5.25,6.43,45.16
56543,2751,9945,6.8,5.58,71.11
56548,2711,9917,9.1,3.93,33.25
56565,2726,10129,4.78,7.8,123.47
56571,2754,10216,3.5,9.79,192.13
56586,2721,10343,8.84,4.43,64.89
56643,2552,9851,9.31,4.57,43.39
56651,2651,10013,4.93,7.55,102.88
56664,2638,10116,2.96,12.24,375.98
56666,2635,10143,1.74,11.82,341.38
56671,2639,10215,3.21,10.29,323.21
56684,2624,10315,6.96,5.72,60.29
56691,2652,10417,7.21,5.13,58.15
56739,2459,9830,3.39,10.03,101.51
56748,2507,9911,9.47,3.3,37.38
56751,2542,10011,6.85,5.06,99.19
56778,2500,10239,5.8,6.29,91.48
56792,2547,10458,2.53,12.63,755.77
56793,2545,10432,3.29,10.54,295.07
56856,2426,10052,5.8,5.87,84.76
56875,2420,10233,5.9,6.24,191.34
56886,2432,10346,3.52,9.06,287.44
56946,2332,9923,2.87,10.94,166.58
56951,2353,10007,5.45,6.48,75.86
56954,2234,9956,2.94,11.22,137.3
56964,2247,10058,3.37,10.32,191.64
56966,2338,10158,7.63,4.86,141.37
56969,2128,10135,2.49,12.81,389.01
56977,2236,10151,2.06,16.05,331.59
56991,2336,10420,5.75,6.55,155.44
57003,3454,10650,8.1,5.61,161.91
57014,3434,10552,10.05,4.75,137.93
57025,3431,10723,7.0,5.74,230.63
