Stanum,Lat,Lon,Rain,Mean,Var
54744,3735,11833,1.37,1.24,11.93
54751,3756,12044,0.98,1.11,17.21
54753,3738,12020,1.32,0.95,16.62
54764,3729,12114,-0.36,0.35,1.08
54776,3724,12242,2.6,0.73,5.13
54808,3613,11538,1.05,2.73,66.85
54823,3636,11700,0.92,3.92,96.48
54826,3615,11706,1.23,5.17,121.36
54836,3611,11810,1.52,2.7,69.73
54842,3647,12000,1.55,2.05,59.98
54843,3645,11912,0.0,0.26,0.47
54857,3604,12020,2.4,0.67,3.02
54863,3647,12111,1.96,1.25,16.13
54909,3505,11531,1.51,1.58,12.44
54916,3534,11651,1.34,2.39,65.62
54929,3516,11758,0.85,4.84,112.3
54936,3534,11850,1.36,3.19,92.2
54945,3528,11933,2.16,1.98,25.09
55228,3230,8005,-0.11,0.42,1.97
55248,3209,8425,0.81,1.97,24.01
55299,3129,9204,0.56,2.78,36.37
55437,3017,8115,1.08,0.7,3.07
55493,3029,9106,1.17,2.13,19.33
55569,2905,8736,0.03,4.53,58.49
55598,2916,9146,0.8,2.49,36.1
55655,2811,8558,-0.2,2.94,14.77
55664,2838,8705,0.41,2.65,19.55
55680,2855,8936,0.39,2.35,16.2
56004,3413,9226,1.24,1.39,5.35
56018,3253,9517,0.52,2.97,21.76
56021,3408,9549,-0.19,3.21,41.61
56029,3300,9658,1.13,2.06,10.64
56033,3455,9813,0.92,1.56,11.19
56034,3348,9708,1.21,1.77,6.28
56038,3259,9806,0.44,3.28,26.71
56043,3429,10014,-0.3,3.84,32.54
56046,3345,9939,0.07,3.35,27.22
56065,3444,10136,0.88,2.52,28.24
56067,3326,10129,0.56,3.66,34.12
56074,3400,10205,-0.52,5.25,122.34
56079,3335,10258,0.74,2.98,22.78
56080,3459,10254,-1.05,4.94,64.32
56093,3426,10401,1.35,1.83,13.14
56096,3324,10455,0.69,0.93,8.52
56116,3125,9536,1.05,2.83,21.96
56125,3212,9628,0.85,2.7,21.69
56137,3109,9710,1.31,2.02,6.94
56144,3148,9835,0.99,3.08,26.45
56146,3137,10000,0.78,2.76,14.7
56151,3256,10045,0.54,3.22,21.69
56152,3217,10020,0.34,3.84,36.9
56167,3058,10107,1.15,2.45,15.13
56172,3154,10214,0.61,3.28,34.64
56173,3248,10233,1.25,2.35,15.82
56178,3060,10221,1.09,2.1,9.83
56182,3240,10336,1.38,1.9,14.18
56187,3045,10352,2.32,1.74,16.62
56188,3060,10340,1.32,3.89,77.6
56223,3046,9548,0.93,2.18,15.39
56227,2952,9546,-0.88,4.22,53.11
